Enrollment,Name,Father,Gender,Department,DOB,Address,Total,Average,Percentage,CGPA
ENR049,Richard,Calvin,Male,CS,2003-09-12,"PSC 9578, Box 6656, APO AP 40179",412,82.4,82.4,3.3
ENR050,Christina,Kelly,Male,ME,2004-08-26,"003 Lisa Meadows, Audreyville, ME 01058",402,80.4,80.4,3.22
ENR051,Katherine,Eddie,Male,BBA,2000-07-03,"3250 Isaac Station, Kimberlystad, WV 81728",428,85.6,85.6,3.42
ENR052,James,Laura,Female,CS,2007-07-07,"44678 Walsh Turnpike, Arroyoland, CO 75674",450,90.0,90.0,3.6
ENR053,Amy,Erik,Female,BBA,2002-03-12,"75951 Amber Land Apt. 218, South Andreaville, OK 33335",455,91.0,91.0,3.64
ENR054,April,Adam,Female,EE,2006-04-10,"USNV Davis, FPO AP 99409",418,83.6,83.6,3.34
ENR055,Leslie,Andrew,Male,IT,2005-09-23,"71247 Williams Cove Apt. 852, North Melissa, IL 01594",451,90.2,90.2,3.61
ENR056,Sandra,Sharon,Male,IT,2004-08-10,"86482 Elizabeth Streets, West Tony, ID 83862",407,81.4,81.4,3.26
ENR057,Hayley,John,Male,BBA,2003-08-17,"543 Bird Pike Apt. 364, Jamietown, GA 96392",459,91.8,91.8,3.67
ENR058,Whitney,Julia,Male,BBA,2006-02-11,"485 Cheryl Drive, Tylerborough, DE 64281",428,85.6,85.6,3.42
ENR059,Stacey,Amanda,Female,EE,2006-12-23,"83243 Ramos Springs Apt. 255, South Laurenstad, AL 61678",480,96.0,96.0,3.84
ENR060,Kevin,Jim,Female,EE,2006-12-09,"6766 Riley Highway, New Tyler, AL 66355",478,95.6,95.6,3.82
ENR061,Christopher,Derrick,Male,CS,2007-05-20,"USCGC Davis, FPO AA 26886",436,87.2,87.2,3.49
ENR062,Lori,Nancy,Female,IT,2003-07-24,"41603 Wiley Expressway Suite 231, Hallmouth, SC 71351",464,92.8,92.8,3.71
ENR063,Sarah,Darlene,Female,EE,2006-12-01,"009 Roth Isle, Jameschester, DC 17600",403,80.6,80.6,3.22
ENR064,Jessica,Wendy,Female,CE,1999-12-09,"0766 Cobb Neck, North Jacqueline, KS 53877",411,82.2,82.2,3.29
ENR065,Karen,Tiffany,Female,CE,2006-06-26,"94151 Joseph Land Suite 073, Richardsonshire, AL 86662",414,82.8,82.8,3.31
ENR066,Richard,Melanie,Female,CS,2001-03-29,"88327 Paul Well, South Mitchell, IL 29994",465,93.0,93.0,3.72
ENR067,Kerry,Gregory,Male,ME,2002-09-11,"134 Gabriel Station Suite 207, Duaneton, TX 09887",481,96.2,96.2,3.85
ENR068,Clinton,Alyssa,Male,ME,2005-02-16,"568 Annette Viaduct, Clarkburgh, NH 42798",431,86.2,86.2,3.45
ENR069,Connie,Nicole,Male,CE,2000-03-22,"Unit 2624 Box 2638, DPO AP 78593",421,84.2,84.2,3.37
ENR070,Hayley,Todd,Female,CE,2000-07-14,"4164 Johnson Creek Suite 469, South Jennifer, SC 68083",434,86.8,86.8,3.47
ENR071,Sarah,Brian,Male,CE,2001-12-12,"PSC 5538, Box 8926, APO AE 58096",482,96.4,96.4,3.86
ENR072,Veronica,Michael,Male,CS,2001-05-20,"582 Wilson Land, Johnton, HI 40752",428,85.6,85.6,3.42
ENR073,Judy,Nichole,Male,CS,2003-04-05,"USCGC Schultz, FPO AP 46988",430,86.0,86.0,3.44
ENR074,Christine,Samantha,Female,CE,2002-01-30,"8321 Ricky Forges Apt. 597, Hodgesbury, MA 90306",453,90.6,90.6,3.62
ENR075,Brittany,Michael,Male,CE,2001-04-21,"308 Woods Orchard Apt. 323, Port Patrickborough, AZ 26440",408,81.6,81.6,3.26
ENR076,Lori,Laura,Male,IT,2004-12-31,"46471 Amanda Manors Suite 370, Port Daniel, OH 24790",491,98.2,98.2,3.93
ENR077,Todd,Elaine,Female,EE,2004-04-04,"0882 Franco Summit Suite 379, Welchhaven, IL 15447",402,80.4,80.4,3.22
ENR078,Angela,Eric,Female,CE,2004-04-03,"0718 Courtney Parkway Suite 211, Teresaville, VT 97985",489,97.8,97.8,3.91
ENR079,Ricky,Frank,Male,BBA,2004-02-16,"414 Day Brook, New Larry, IA 65123",411,82.2,82.2,3.29
ENR080,Michael,William,Male,CE,2003-02-21,"62449 Donna Falls Apt. 332, Jonhaven, KY 46459",403,80.6,80.6,3.22
ENR081,Natasha,Peter,Female,EE,1999-12-05,"154 Perez Motorway, East Josephfurt, WY 94716",436,87.2,87.2,3.49
ENR082,Haley,Kyle,Female,CE,2006-02-09,"525 Rich Village Suite 452, Nancymouth, MD 06316",471,94.2,94.2,3.77
ENR083,Shawn,Martin,Male,CE,2004-04-25,"849 Glover Heights, Port Jose, PA 64003",454,90.8,90.8,3.63
ENR084,Mark,Robert,Male,EE,2004-01-13,"01173 Perez Plaza Apt. 076, Port Earl, MT 78969",468,93.6,93.6,3.74
ENR085,John,Jacob,Female,IT,2005-03-14,"497 Herrera Flats Suite 907, Matthewmouth, NM 19914",487,97.4,97.4,3.9
ENR086,Kevin,Devin,Male,CE,2001-04-11,"PSC 5479, Box 3954, APO AE 32221",500,100.0,100.0,4.0
ENR087,Christopher,Brian,Female,ME,2006-09-10,"63309 Russo Fords, East Fred, MO 97694",430,86.0,86.0,3.44
ENR088,Kirk,Christopher,Male,CE,2006-04-26,"6895 Sheila Drive Suite 177, East Jeffrey, NM 68519",497,99.4,99.4,3.98
ENR089,Robert,Lauren,Female,CS,2007-07-29,"109 Madden Spurs, Morenotown, AK 03321",459,91.8,91.8,3.67
ENR090,Caleb,Timothy,Male,BBA,2003-10-04,"2409 Kristen Rue, Richardborough, GA 50970",421,84.2,84.2,3.37
ENR091,Ronald,Courtney,Male,CE,2004-10-14,"275 Cody Parks, Lake Kevin, CT 76211",482,96.4,96.4,3.86
ENR092,Samuel,Michael,Male,CE,2002-02-05,"27444 Gonzales Mountain Suite 169, Port Arthurtown, IL 62902",477,95.4,95.4,3.82
ENR093,Devin,Patricia,Male,ME,2002-11-28,"8025 Hernandez Flat, Smithview, ME 95248",477,95.4,95.4,3.82
ENR094,Kenneth,Paul,Male,CS,2002-06-16,"45227 Erica Island, Port Kristen, DE 62773",493,98.6,98.6,3.94
ENR095,Jason,David,Male,ME,2000-05-20,"4684 Madison Fork, West Yvonne, MA 62345",486,97.2,97.2,3.89
ENR096,Elizabeth,Lucas,Female,IT,2006-11-29,"157 Cardenas Ways Apt. 707, Buckberg, DE 26070",415,83.0,83.0,3.32
ENR097,Samuel,Elizabeth,Male,CE,2003-01-16,"Unit 0928 Box 9599, DPO AE 27736",473,94.6,94.6,3.78
ENR098,Joann,Julia,Female,CS,2004-05-29,"771 Conner Center Apt. 970, Port Jeffreyville, WV 24784",406,81.2,81.2,3.25
ENR099,Jamie,Joy,Male,IT,2007-02-14,"08561 Robert Path Apt. 547, South Shaneview, SC 02581",466,93.2,93.2,3.73
ENR100,Kimberly,Tiffany,Female,ME,2005-01-20,"989 Smith Forges Apt. 065, South Timmouth, FL 09269",475,95.0,95.0,3.8
